spotify_id,name,artists,daily_rank,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
7wlfGt5NkpPT6nRC6yCr7u,Bercinta Lewat Kata - OST Jatuh Cinta Seperti di Film-Film,Donne Maula,18,ID,4/13/2024,78,FALSE,169000,Bercinta Lewat Kata (OST Jatuh Cinta Seperti di Film-Film),7/26/2023,0.598,0.3,5,-11.778,1,0.072,0.919,0.00186,0.103,0.374,119.831,3
5MIpcd16T59wFeqAChSYwC,Duka,Last Child,19,ID,4/13/2024,78,FALSE,325147,Duka,9/25/2016,0.566,0.885,0,-4.664,1,0.0355,0.122,0.00000375,0.049,0.31,135.015,4
5UHnOvi0XFvwY8ege9DNdD,Karena Kamu,Geisha,20,ID,4/13/2024,79,FALSE,234546,Meraih Bintang,1/3/2011,0.605,0.708,0,-5.952,1,0.0294,0.174,0,0.112,0.709,124.04,4
6mQLN3zRtAp6ovjusyYKrV,Rewrite The Stars (with James Arthur & Anne-Marie),"James Arthur, Anne-Marie",21,ID,4/13/2024,80,FALSE,218293,Rewrite The Stars (with James Arthur & Anne-Marie),10/25/2018,0.67,0.743,10,-4.993,1,0.0393,0.237,0,0.465,0.571,125.944,4
1uy2DsaTtdBO9jBo7KBLWE,Ku Ingin Pisah,Nabila Taqiyyah,22,ID,4/13/2024,78,FALSE,235335,Ku Ingin Pisah,11/23/2023,0.513,0.361,7,-6.082,1,0.0268,0.847,0,0.22,0.204,79.153,4
1X80KdFJpedU4as4WGIgYM,Rahasia Hati,Element,23,ID,4/13/2024,78,FALSE,191950,Paradoks,1/1/2002,0.542,0.526,11,-7.316,0,0.0263,0.166,0,0.116,0.394,75.098,4
304FEq5eVvrxur9KdHhC5I,Akhir Tak Bahagia,Misellia,24,ID,4/13/2024,71,FALSE,183218,Penyendiri,1/27/2023,0.535,0.217,1,-10.603,1,0.0318,0.921,0.0000156,0.105,0.313,131.981,4
1bjeWoagtHmUKputLVyDxQ,Saturn,SZA,25,ID,4/13/2024,92,FALSE,186191,Saturn,2/22/2024,0.411,0.619,1,-6.834,1,0.0368,0.62,0,0.11,0.337,177.937,4
2wAiFWjRupWmnDkQcu91MF,Rumah Ke Rumah,Hindia,26,ID,4/13/2024,77,FALSE,277457,Menari Dengan Bayangan,11/29/2019,0.72,0.786,11,-7.396,1,0.0319,0.456,0.616,0.186,0.488,116.032,4
7geh51STedQfizitdiNPCg,Kita Bikin Romantis,MALIQ & D'Essentials,27,ID,4/13/2024,76,FALSE,236752,Kita Bikin Romantis,3/8/2024,0.743,0.559,1,-8.416,0,0.0302,0.689,0.0000146,0.138,0.589,109.496,3
32Pdf9eyXDEMoClEJW6yYP,Interaksi,Tulus,28,ID,4/13/2024,77,FALSE,170000,Manusia,3/3/2022,0.464,0.344,9,-8.302,1,0.033,0.778,0.00000123,0.132,0.751,177.713,4
5O2P9iiztwhomNh8xkR9lJ,Night Changes,One Direction,29,ID,4/13/2024,88,FALSE,226600,FOUR (Deluxe),11/17/2014,0.672,0.52,8,-7.747,1,0.0353,0.859,0,0.115,0.37,120.001,4
4AfhlJghKIWkXa8sfFEXVd,Bunga Hati,Salma Salsabil,30,ID,4/13/2024,78,FALSE,173720,Bunga Hati,11/16/2023,0.518,0.679,6,-5.372,0,0.046,0.68,0.00000121,0.102,0.423,93.118,4
1rUQmXEy41tXwHIKFECNTa,Wide Awake,Katy Perry,31,ID,4/13/2024,76,FALSE,220933,Teenage Dream: The Complete Confection,1/1/2012,0.511,0.681,5,-5.103,1,0.0359,0.0843,0.00000673,0.503,0.555,160.035,4
238QZNu3LMzPj2PUoE8AIk,Teramini,Ghea Indrawari,32,ID,4/13/2024,70,FALSE,220010,Berdamai,3/10/2024,0.271,0.352,0,-8.721,1,0.0303,0.766,0.0000157,0.364,0.293,75.435,4
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,33,ID,4/13/2024,96,FALSE,178426,Lover,8/23/2019,0.552,0.702,9,-5.707,1,0.157,0.117,0.0000206,0.105,0.564,169.994,4
2NjbJR8y083mOV59255QSe,Nanti Kita Seperti Ini,Batas Senja,34,ID,4/13/2024,78,FALSE,209647,Nanti Kita Seperti Ini,9/27/2022,0.532,0.428,0,-7.255,1,0.0252,0.291,0.000233,0.0972,0.404,84.824,4
0sV01d2keik5bwCuW9EQpk,Jiwa Yang Bersedih,Ghea Indrawari,35,ID,4/13/2024,65,FALSE,278219,Berdamai,3/10/2024,0.363,0.391,2,-8.429,1,0.0281,0.805,0.00000134,0.115,0.451,97.377,4
5g7TAIGfB6vgbaX8AH19FG,Mendua,Astrid,36,ID,4/13/2024,71,FALSE,250000,Terpukau,10/23/2013,0.472,0.401,8,-5.201,1,0.0265,0.19,0,0.269,0.271,135.888,4
2aDgJHhAbABvdW9NszrAPQ,Sialan,"Adrian Khalif, Juicy Luicy",37,ID,4/13/2024,73,FALSE,241088,Sialan,2/10/2023,0.593,0.583,10,-6.348,1,0.0306,0.4,0,0.194,0.656,142,4
3diRmt2Z6xSEaT0mqBr681,Lagu Pernikahan Kita,"Tiara Andini, Arsy Widianto",38,ID,4/13/2024,75,FALSE,261476,Lagu Pernikahan Kita,2/1/2024,0.538,0.399,8,-8.358,1,0.0298,0.828,0.0000138,0.111,0.277,135.874,4
2eAvDnpXP5W0cVtiI0PUxV,Dandelions,Ruth B.,39,ID,4/13/2024,88,FALSE,233720,Safe Haven,5/5/2017,0.609,0.692,1,-2.958,1,0.0259,0.0157,0,0.0864,0.454,116.959,3
3nHxZEe1dT7zs73DG6pNll,Usai,Tiara Andini,40,ID,4/13/2024,76,FALSE,217200,Usai,11/25/2022,0.461,0.36,7,-8.99,1,0.0269,0.863,0.0000251,0.0914,0.131,109.236,4
4GfK1qOF3uBWidbPlTCQRL,Monokrom,Tulus,41,ID,4/13/2024,76,FALSE,214567,Monokrom,8/3/2016,0.534,0.462,6,-9.383,1,0.0326,0.573,0.00000559,0.0974,0.519,88.046,4
630DpnzdfjdVqv2yLfPbAX,Bertaut,Nadin Amizah,42,ID,4/13/2024,77,FALSE,315960,Selamat Ulang Tahun,5/28/2020,0.47,0.131,6,-13.29,1,0.0362,0.933,0.00245,0.109,0.115,118.836,3
3e1rs346dsDDwpqTRGlRZR,Somebody's Pleasure,Aziz Hedra,43,ID,4/13/2024,78,FALSE,223957,Somebody's Pleasure,1/27/2023,0.633,0.491,10,-6.847,1,0.0336,0.842,0.00000384,0.172,0.234,116.974,4
3aClK9EBpl7QeYEuOq1eMI,L,Hal,44,ID,4/13/2024,75,FALSE,220851,Perspektif,8/23/2018,0.651,0.364,2,-6.877,1,0.0328,0.831,0.0000689,0.0981,0.484,152.853,4
0otRX6Z89qKkHkQ9OqJpKt,Car's Outside,James Arthur,45,ID,4/13/2024,84,FALSE,248373,YOU,10/18/2019,0.338,0.562,9,-7.181,1,0.029,0.039,0,0.107,0.259,149.907,4
2psRActEWsTlYYd7EDoyVR,Those Eyes,New West,46,ID,4/13/2024,83,FALSE,220750,Based On A True Story...,10/20/2023,0.593,0.354,4,-8.27,1,0.0279,0.698,0.0000355,0.293,0.241,120.01,3
5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,Arctic Monkeys,47,ID,4/13/2024,93,FALSE,183956,AM,9/9/2013,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,4
1mruWrUwAVe2XkksUQiaHK,Selamat (Selamat Tinggal),"Virgoun, Audy",48,ID,4/13/2024,76,FALSE,313670,Selamat (Selamat Tinggal),6/17/2019,0.361,0.581,0,-8.502,1,0.0302,0.523,0.00000542,0.118,0.372,79.59,4
6xeqCawPZngDVqw2W2aGaR,Kembali Pulang,"Suara Kayu, Feby Putri",49,ID,4/13/2024,77,FALSE,207898,Kembali Pulang,10/28/2022,0.559,0.236,1,-10.619,1,0.0282,0.95,0.00673,0.105,0.33,141.977,3
0x7PmByJWVXdeipevd6KZS,Take A Chance With Me,NIKI,50,ID,4/13/2024,76,FALSE,303933,Nicole,8/11/2022,0.599,0.42,10,-11.637,1,0.0645,0.843,0.000262,0.103,0.506,93.981,4
6EIMUjQ7Q8Zr2VtIUik4He,drunk text,Henry Moodie,1,ID,4/12/2024,84,FALSE,187263,in all of my lonely nights,1/26/2024,0.614,0.493,0,-5.356,1,0.0314,0.0676,0,0.113,0.176,94.784,3
3qhlB30KknSejmIvZZLjOD,End of Beginning,Djo,2,ID,4/12/2024,99,FALSE,159245,DECIDE,9/16/2022,0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,4
51ZQ1vr10ffzbwIjDCwqm4,we can't be friends (wait for your love),Ariana Grande,3,ID,4/12/2024,95,FALSE,228639,eternal sunshine,3/8/2024,0.645,0.663,5,-8.305,1,0.0447,0.0657,0.0000318,0.0751,0.287,115.83,4
7F4tV8SiUy6itZTdAzdafO,penjaga hati,Nadhif Basalamah,4,ID,4/12/2024,83,FALSE,260346,penjaga hati,6/21/2023,0.509,0.359,2,-8.993,1,0.0279,0.879,0.0289,0.19,0.329,155.799,4
2lMQOAKPam2JVEfNsZtWDe,Tak Dianggap,Lyodra,5,ID,4/12/2024,82,FALSE,179841,Tak Dianggap,8/17/2023,0.614,0.438,2,-5.737,1,0.0433,0.802,0,0.213,0.302,126,4
6XKEElbr3cWmnUw6a5HRBV,Mati-Matian,Mahalini,6,ID,4/12/2024,73,FALSE,244137,Mati-Matian,3/29/2024,0.44,0.389,5,-6.412,1,0.0368,0.795,0.0000191,0.149,0.176,116.839,4
7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",7,ID,4/12/2024,92,FALSE,244684,The Idol Episode 4 (Music from the HBO Original Series),6/23/2023,0.522,0.641,8,-6.287,1,0.0318,0.0545,0,0.162,0.202,87.51,4
3FwQ3RYYEekzjEeL3jdpUZ,Pesan Terakhir,Lyodra,8,ID,4/12/2024,80,FALSE,261299,Lyodra,7/16/2021,0.522,0.357,2,-8.579,1,0.0299,0.432,0.00000331,0.094,0.14,120.049,4
2sD709AK9zRN6SKUmDhGEa,"Dia Masa Lalumu, Aku Masa Depanmu",Vionita,9,ID,4/12/2024,80,FALSE,242000,"Dia Masa Lalumu, Aku Masa Depanmu",3/5/2021,0.48,0.418,7,-6.168,1,0.0313,0.609,0.000016,0.148,0.207,125.513,4
4SW9fIXaX6OxJhm9gspkDG,Tapi Tahukah Kamu?,"Dygta, Kamasean",10,ID,4/12/2024,79,FALSE,251600,Tapi Tahukah Kamu?,9/1/2023,0.5,0.467,1,-7.514,1,0.026,0.734,0.00031,0.104,0.287,143.974,4
